Date, Price , Open , High , Low , Vol. ,Change %
10/14/2009," 14,182.79 "," 14,574.89 "," 14,574.89 "," 14,574.89 ", -   ,1.31%
10/15/2009," 14,325.50 "," 15,053.27 "," 15,053.27 "," 15,053.27 ", -   ,1.01%
10/16/2009," 14,258.06 "," 15,053.27 "," 15,053.27 "," 15,053.27 ", -   ,-0.47%
10/17/2009," 14,258.06 "," 15,053.27 "," 15,053.27 "," 15,053.27 ", -   ,0.00%
10/18/2009," 14,258.06 "," 15,053.27 "," 15,053.27 "," 15,053.27 ", -   ,0.00%
10/19/2009," 13,631.49 "," 15,473.06 "," 15,473.06 "," 15,473.06 ", -   ,-4.39%
10/20/2009," 13,840.73 "," 15,473.06 "," 15,473.06 "," 15,473.06 ", -   ,1.53%
10/21/2009," 13,350.02 "," 15,973.54 "," 15,973.54 "," 15,973.54 ", -   ,-3.55%
10/22/2009," 13,325.83 "," 15,973.54 "," 15,973.54 "," 15,973.54 ", -   ,-0.18%
10/23/2009," 13,235.30 "," 15,658.01 "," 15,658.01 "," 15,658.01 ", -   ,-0.68%
10/24/2009," 13,235.30 "," 15,658.01 "," 15,658.01 "," 15,658.01 ", -   ,0.00%
10/25/2009," 13,235.30 "," 15,658.01 "," 15,658.01 "," 15,658.01 ", -   ,0.00%
10/26/2009," 13,466.05 "," 15,051.30 "," 15,051.30 "," 15,051.30 ", -   ,1.74%
10/27/2009," 13,419.36 "," 15,159.70 "," 15,159.70 "," 15,159.70 ", -   ,-0.35%
10/28/2009," 13,296.22 "," 15,159.70 "," 15,159.70 "," 15,159.70 ", -   ,-0.92%
10/29/2009," 13,249.46 "," 14,805.44 "," 14,805.44 "," 14,805.44 ", -   ,-0.35%
10/30/2009," 13,245.82 "," 14,805.44 "," 14,805.44 "," 14,805.44 ", -   ,-0.03%
10/31/2009," 13,245.82 "," 14,805.44 "," 14,805.44 "," 14,805.44 ", -   ,0.00%
11/1/2009," 13,245.82 "," 14,805.44 "," 14,805.44 "," 14,805.44 ", -   ,0.00%
11/2/2009," 12,779.96 "," 15,364.01 "," 15,364.01 "," 15,364.01 ", -   ,-3.52%
11/3/2009," 12,907.74 "," 15,364.01 "," 15,364.01 "," 15,364.01 ", -   ,1.00%
11/4/2009," 13,209.20 "," 15,364.01 "," 15,364.01 "," 15,364.01 ", -   ,2.34%
11/5/2009," 13,133.14 "," 15,364.01 "," 15,364.01 "," 15,364.01 ", -   ,-0.58%
11/6/2009," 12,903.46 "," 15,687.59 "," 15,687.59 "," 15,687.59 ", -   ,-1.75%
11/7/2009," 12,903.46 "," 15,687.59 "," 15,687.59 "," 15,687.59 ", -   ,0.00%
11/8/2009," 12,903.46 "," 15,687.59 "," 15,687.59 "," 15,687.59 ", -   ,0.00%
11/9/2009," 12,903.46 "," 15,687.59 "," 15,687.59 "," 15,687.59 ", -   ,0.00%
11/10/2009," 12,633.50 "," 15,698.93 "," 15,698.93 "," 15,698.93 ", -   ,-2.09%
11/11/2009," 12,942.27 "," 15,698.93 "," 15,698.93 "," 15,698.93 ", -   ,2.44%
11/12/2009," 12,983.13 "," 16,161.43 "," 16,161.43 "," 16,161.43 ", -   ,0.32%
11/13/2009," 13,153.32 "," 16,161.43 "," 16,161.43 "," 16,161.43 ", -   ,1.31%
11/14/2009," 13,153.32 "," 16,161.43 "," 16,161.43 "," 16,161.43 ", -   ,0.00%
11/15/2009," 13,153.32 "," 16,161.43 "," 16,161.43 "," 16,161.43 ", -   ,0.00%
11/16/2009," 13,436.81 "," 16,791.09 "," 16,791.09 "," 16,791.09 ", -   ,2.16%
11/17/2009," 13,328.28 "," 16,791.09 "," 16,791.09 "," 16,791.09 ", -   ,-0.81%
11/18/2009," 13,309.44 "," 16,715.36 "," 16,715.36 "," 16,715.36 ", -   ,-0.14%
11/19/2009," 13,505.38 "," 16,715.36 "," 16,715.36 "," 16,715.36 ", -   ,1.47%
11/20/2009," 13,577.59 "," 17,340.66 "," 17,340.66 "," 17,340.66 ", -   ,0.53%
11/21/2009," 13,577.59 "," 17,340.66 "," 17,340.66 "," 17,340.66 ", -   ,0.00%
11/22/2009," 13,577.59 "," 17,340.66 "," 17,340.66 "," 17,340.66 ", -   ,0.00%
11/23/2009," 13,474.72 "," 17,343.19 "," 17,343.19 "," 17,343.19 ", -   ,-0.76%
11/24/2009," 13,471.67 "," 17,343.19 "," 17,343.19 "," 17,343.19 ", -   ,-0.02%
11/25/2009," 13,425.22 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,-0.34%
11/26/2009," 13,436.50 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,0.08%
11/27/2009," 13,436.50 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,0.00%
11/28/2009," 13,436.50 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,0.00%
11/29/2009," 13,436.50 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,0.00%
11/30/2009," 13,436.50 "," 17,542.26 "," 17,542.26 "," 17,542.26 ", -   ,0.00%
12/1/2009," 13,243.62 "," 17,840.60 "," 17,840.60 "," 17,840.60 ", -   ,-1.44%
12/2/2009," 13,329.35 "," 18,142.48 "," 18,142.48 "," 18,142.48 ", -   ,0.65%
12/3/2009," 13,334.16 "," 18,142.48 "," 18,142.48 "," 18,142.48 ", -   ,0.04%
12/4/2009," 13,210.26 "," 18,345.25 "," 18,345.25 "," 18,345.25 ", -   ,-0.93%
12/5/2009," 13,210.26 "," 18,345.25 "," 18,345.25 "," 18,345.25 ", -   ,0.00%
12/6/2009," 13,210.26 "," 18,345.25 "," 18,345.25 "," 18,345.25 ", -   ,0.00%
12/7/2009," 13,175.64 "," 18,643.53 "," 18,643.53 "," 18,643.53 ", -   ,-0.26%
12/8/2009," 12,964.69 "," 18,643.53 "," 18,643.53 "," 18,643.53 ", -   ,-1.60%
12/9/2009," 13,050.09 "," 18,643.53 "," 18,643.53 "," 18,643.53 ", -   ,0.66%
12/10/2009," 13,172.90 "," 18,816.29 "," 18,816.29 "," 18,816.29 ", -   ,0.94%
12/11/2009," 13,250.02 "," 18,816.29 "," 18,816.29 "," 18,816.29 ", -   ,0.59%
12/12/2009," 13,250.02 "," 18,816.29 "," 18,816.29 "," 18,816.29 ", -   ,0.00%
12/13/2009," 13,250.02 "," 18,816.29 "," 18,816.29 "," 18,816.29 ", -   ,0.00%
12/14/2009," 13,621.92 "," 19,831.31 "," 19,831.31 "," 19,831.31 ", -   ,2.81%
12/15/2009," 13,600.45 "," 19,831.31 "," 19,831.31 "," 19,831.31 ", -   ,-0.16%
12/16/2009," 13,580.15 "," 20,416.86 "," 20,416.86 "," 20,416.86 ", -   ,-0.15%
12/17/2009," 13,540.43 "," 20,416.86 "," 20,416.86 "," 20,416.86 ", -   ,-0.29%
12/18/2009," 13,491.51 "," 20,253.46 "," 20,253.46 "," 20,253.46 ", -   ,-0.36%
12/19/2009," 13,491.51 "," 20,253.46 "," 20,253.46 "," 20,253.46 ", -   ,0.00%
12/20/2009," 13,491.51 "," 20,253.46 "," 20,253.46 "," 20,253.46 ", -   ,0.00%
12/21/2009," 13,484.00 "," 20,247.25 "," 20,247.25 "," 20,247.25 ", -   ,-0.06%
12/22/2009," 13,570.08 "," 20,068.75 "," 20,068.75 "," 20,068.75 ", -   ,0.64%
12/23/2009," 13,601.18 "," 20,068.75 "," 20,068.75 "," 20,068.75 ", -   ,0.23%
12/24/2009," 13,796.30 "," 19,275.88 "," 19,275.88 "," 19,275.88 ", -   ,1.43%
12/25/2009," 13,796.30 "," 19,275.88 "," 19,275.88 "," 19,275.88 ", -   ,0.00%
12/26/2009," 13,796.30 "," 19,275.88 "," 19,275.88 "," 19,275.88 ", -   ,0.00%
12/27/2009," 13,796.30 "," 19,275.88 "," 19,275.88 "," 19,275.88 ", -   ,0.00%
12/28/2009," 13,796.30 "," 19,275.88 "," 19,275.88 "," 19,275.88 ", -   ,0.00%
12/29/2009," 13,805.96 "," 18,267.02 "," 18,267.02 "," 18,267.02 ", -   ,0.07%
12/30/2009," 13,903.42 "," 18,267.02 "," 18,267.02 "," 18,267.02 ", -   ,0.71%
12/31/2009," 13,754.06 "," 19,892.01 "," 19,892.01 "," 19,892.01 ", -   ,-1.07%
1/1/2010," 13,754.06 "," 19,892.01 "," 19,892.01 "," 19,892.01 ", -   ,0.00%
1/2/2010," 13,754.06 "," 19,892.01 "," 19,892.01 "," 19,892.01 ", -   ,0.00%
1/3/2010," 13,754.06 "," 19,892.01 "," 19,892.01 "," 19,892.01 ", -   ,0.00%
1/4/2010," 13,932.22 "," 19,521.43 "," 19,521.43 "," 19,521.43 ", -   ,1.30%
1/5/2010," 14,206.59 "," 19,521.43 "," 19,521.43 "," 19,521.43 ", -   ,1.97%
1/6/2010," 14,233.71 "," 19,376.97 "," 19,376.97 "," 19,376.97 ", -   ,0.19%
1/7/2010," 14,248.40 "," 19,529.15 "," 19,529.15 "," 19,529.15 ", -   ,0.10%
1/8/2010," 14,361.22 "," 19,529.15 "," 19,529.15 "," 19,529.15 ", -   ,0.79%
1/9/2010," 14,361.22 "," 19,529.15 "," 19,529.15 "," 19,529.15 ", -   ,0.00%
1/10/2010," 14,361.22 "," 19,529.15 "," 19,529.15 "," 19,529.15 ", -   ,0.00%
1/11/2010," 14,393.58 "," 20,144.14 "," 20,144.14 "," 20,144.14 ", -   ,0.23%
1/12/2010," 14,371.21 "," 20,144.14 "," 20,144.14 "," 20,144.14 ", -   ,-0.16%
1/13/2010," 14,421.56 "," 19,901.38 "," 19,901.38 "," 19,901.38 ", -   ,0.35%
1/14/2010," 14,472.38 "," 19,901.38 "," 19,901.38 "," 19,901.38 ", -   ,0.35%
1/15/2010," 14,659.56 "," 20,270.59 "," 20,270.59 "," 20,270.59 ", -   ,1.29%
1/16/2010," 14,659.56 "," 20,270.59 "," 20,270.59 "," 20,270.59 ", -   ,0.00%
1/17/2010," 14,659.56 "," 20,270.59 "," 20,270.59 "," 20,270.59 ", -   ,0.00%
1/18/2010," 14,579.69 "," 20,415.39 "," 20,415.39 "," 20,415.39 ", -   ,-0.54%
1/19/2010," 14,603.18 "," 20,041.38 "," 20,041.38 "," 20,041.38 ", -   ,0.16%
1/20/2010," 14,523.29 "," 20,041.38 "," 20,041.38 "," 20,041.38 ", -   ,-0.55%
1/21/2010," 14,280.46 "," 20,215.54 "," 20,215.54 "," 20,215.54 ", -   ,-1.67%
1/22/2010," 14,418.10 "," 20,215.54 "," 20,215.54 "," 20,215.54 ", -   ,0.96%
1/23/2010," 14,418.10 "," 20,215.54 "," 20,215.54 "," 20,215.54 ", -   ,0.00%
1/24/2010," 14,418.10 "," 20,215.54 "," 20,215.54 "," 20,215.54 ", -   ,0.00%
1/25/2010," 14,311.72 "," 20,765.09 "," 20,765.09 "," 20,765.09 ", -   ,-0.74%
1/26/2010," 14,298.45 "," 20,765.09 "," 20,765.09 "," 20,765.09 ", -   ,-0.09%
1/27/2010," 14,189.59 "," 20,940.60 "," 20,940.60 "," 20,940.60 ", -   ,-0.76%
1/28/2010," 14,141.91 "," 20,940.60 "," 20,940.60 "," 20,940.60 ", -   ,-0.34%
1/29/2010," 14,215.79 "," 21,159.27 "," 21,159.27 "," 21,159.27 ", -   ,0.52%
1/30/2010," 14,215.79 "," 21,159.27 "," 21,159.27 "," 21,159.27 ", -   ,0.00%
1/31/2010," 14,215.79 "," 21,159.27 "," 21,159.27 "," 21,159.27 ", -   ,0.00%
2/1/2010," 14,161.45 "," 21,084.95 "," 21,084.95 "," 21,084.95 ", -   ,-0.38%
2/2/2010," 14,145.62 "," 21,165.12 "," 21,165.12 "," 21,165.12 ", -   ,-0.11%
2/3/2010," 14,176.27 "," 21,165.12 "," 21,165.12 "," 21,165.12 ", -   ,0.22%
2/4/2010," 14,435.64 "," 20,979.15 "," 20,979.15 "," 20,979.15 ", -   ,1.83%
2/5/2010," 14,435.64 "," 20,979.15 "," 20,979.15 "," 20,979.15 ", -   ,0.00%
2/6/2010," 14,435.64 "," 20,979.15 "," 20,979.15 "," 20,979.15 ", -   ,0.00%
2/7/2010," 14,435.64 "," 20,979.15 "," 20,979.15 "," 20,979.15 ", -   ,0.00%
2/8/2010," 14,496.10 "," 21,563.27 "," 21,563.27 "," 21,563.27 ", -   ,0.42%
2/9/2010," 14,477.18 "," 21,563.27 "," 21,563.27 "," 21,563.27 ", -   ,-0.13%
2/10/2010," 14,405.09 "," 21,732.03 "," 21,732.03 "," 21,732.03 ", -   ,-0.50%
2/11/2010," 14,459.18 "," 21,732.03 "," 21,732.03 "," 21,732.03 ", -   ,0.38%
2/12/2010," 14,434.14 "," 21,203.61 "," 21,203.61 "," 21,203.61 ", -   ,-0.17%
2/13/2010," 14,434.14 "," 21,203.61 "," 21,203.61 "," 21,203.61 ", -   ,0.00%
2/14/2010," 14,434.14 "," 21,203.61 "," 21,203.61 "," 21,203.61 ", -   ,0.00%
2/15/2010," 14,292.74 "," 19,964.77 "," 19,964.77 "," 19,964.77 ", -   ,-0.98%
